 INPUT STRING:	اميرة
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(bixiyr)
          POS:	PREP+NOUN
          VOC:	bi+xiyr
        GLOSS:	with/by+affluence/prosperity/good/wealth/welfare

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P2W12
      OFFSETS:	54-57
       TOKENS:	P2W14-P2W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	اسعد
     IS_TRANS:	AsEd
        INDEX:	P2W13
      OFFSETS:	58-62
       TOKENS:	P2W16-P2W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asoEad_2]
   UNSPLITVOC:	(>asoEad)
          POS:	ADJ_COMP
          VOC:	>asoEad
        GLOSS:	happier/happiest/luckier/luckiest

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P2W14
      OFFSETS:	63-66
       TOKENS:	P2W17-P2W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P2W15
      OFFSETS:	67-71
       TOKENS:	P2W18-P2W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W16
      OFFSETS:	72-75
       TOKENS:	P2W20-P2W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طوووووول
     IS_TRANS:	Twwwwwwl
        INDEX:	P2W17
      OFFSETS:	76-84
       TOKENS:	P2W21-P2W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	long

 INPUT STRING:	
     IS_TRANS:	&#xe418;
        INDEX:	P2W18
      OFFSETS:	85-86
       TOKENS:	P2W22-P2W22
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe418;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

