 INPUT STRING:	لول
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	Eamal+(null)+uh
        GLOSS:	function/make/act/do+he/it+it/him

 INPUT STRING:	مستفزة
     IS_TRANS:	mstfzp
        INDEX:	P4W1
      OFFSETS:	0-6
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotafiz~_1]
   UNSPLITVOC:	(musotafiz~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotafiz~+ap
        GLOSS:	challenging/provocative/Provoking/provoked+[fem.sg.]

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P4W2
      OFFSETS:	7-11
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	اتخضيت
     IS_TRANS:	AtxDyt
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitoxaD~_1]
   UNSPLITVOC:	(AitoxaD~iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AitoxaD~+iyt
        GLOSS:	shock+I

 INPUT STRING:	mn
     IS_TRANS:	mn
        INDEX:	P5W2
      OFFSETS:	7-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الرياكشن
     IS_TRANS:	AlryAk$n
        INDEX:	P5W3
      OFFSETS:	10-18
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlryAk$n)
          POS:	FOREIGN
          VOC:	AlryAk$n
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	((((
     IS_TRANS:	((((
        INDEX:	P6W2
      OFFSETS:	1-5
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	((((()
          POS:	PUNC
          VOC:	((((
        GLOSS:	((((

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P7W2
      OFFSETS:	3-6
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P8W2
      OFFSETS:	4-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تستاهلش
     IS_TRANS:	tstAhl$
        INDEX:	P8W3
      OFFSETS:	7-14
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotAhil_1]
   UNSPLITVOC:	(tisotAhil$)
          POS:	IV3FS+IV+NEG_PART
          VOC:	ti+sotAhil+$
        GLOSS:	it/they/she+deserve/merit+not

 INPUT STRING:	Hd
     IS_TRANS:	Hd
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	طايل
     IS_TRANS:	TAyl
        INDEX:	P9W2
      OFFSETS:	3-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAyil_1]
   UNSPLITVOC:	(TAyil)
          POS:	ADJ
          VOC:	TAyil
        GLOSS:	immense/huge

 INPUT STRING:	
     IS_TRANS:	&#xe057;&#xe057;
        INDEX:	P9W3
      OFFSETS:	8-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe057;&#xe057;)
          POS:	NO_FUNC
          VOC:	??
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P10W2
      OFFSETS:	4-7
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P10W3
      OFFSETS:	8-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P10W4
      OFFSETS:	11-15
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+function/make/act/do

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P10W5
      OFFSETS:	16-18
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+I/me

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P10W6
      OFFSETS:	19-22
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P10W7
      OFFSETS:	23-27
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	أوافق
     IS_TRANS:	>wAfq
        INDEX:	P10W8
      OFFSETS:	28-33
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(AawAfiq)
          POS:	IV1S+IV
          VOC:	Aa+wAfiq
        GLOSS:	I+agree/be in conformity/accept/put in order/repair/be suitable/be fit/reform et right

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W9
      OFFSETS:	34-37
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P10W10
      OFFSETS:	38-41
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P11W2
      OFFSETS:	3-4
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	لول
     IS_TRANS:	lwl
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lwl)
          POS:	FOREIGN
          VOC:	lwl
        GLOSS:	nogloss

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P13W1
      OFFSETS:	0-2
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	لاقي
     IS_TRANS:	lAqy
        INDEX:	P13W2
      OFFSETS:	3-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqiy)
          POS:	ADJ
          VOC:	lAqiy
        GLOSS:	finding/seeing

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P13W3
      OFFSETS:	8-10
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	شيخة
     IS_TRANS:	$yxp
        INDEX:	P13W4
      OFFSETS:	11-15
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iyxap_1]
   UNSPLITVOC:	($iyxap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$iyx+ap
        GLOSS:	matron/elderly woman+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	lw
     IS_TRANS:	lw
        INDEX:	P14W2
      OFFSETS:	3-5
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P14W3
      OFFSETS:	6-10
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	wqfnY
     IS_TRANS:	wqfnY
        INDEX:	P14W4
      OFFSETS:	11-16
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~af_1]
   UNSPLITVOC:	(waq~afniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	waq~af+(null)+niy
        GLOSS:	stop/detain+he/it+me

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P14W5
      OFFSETS:	17-19
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P14W6
      OFFSETS:	20-26
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets/legislator

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P14W7
      OFFSETS:	27-29
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	أعرفوش
     IS_TRANS:	>Erfw$
        INDEX:	P14W8
      OFFSETS:	30-36
       TOKENS:	P14W9-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(>aEorafuw$)
          POS:	IV1S+IV+IVSUFF_DO:3MS+NEG_PART
          VOC:	>a+Eoraf+uh+$
        GLOSS:	I+know+him/it+not

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P14W9
      OFFSETS:	37-40
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حتقدملة
     IS_TRANS:	Htqdmlp
        INDEX:	P14W10
      OFFSETS:	41-48
       TOKENS:	P14W13-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitoqad~im_1]
   UNSPLITVOC:	(Hatoqad~im_luh)
          POS:	FUT_PART+IV2MS+IV+PREP+PRON_3MS
          VOC:	Ha+Aa+toqad~im+li+uh
        GLOSS:	will+you+present/advance/propose+to/for+him

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P14W11
      OFFSETS:	49-50
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	((
     IS_TRANS:	((
        INDEX:	P14W12
      OFFSETS:	50-52
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	((()
          POS:	PUNC
          VOC:	((
        GLOSS:	((

 INPUT STRING:	لول
     IS_TRANS:	lwl
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lwl)
          POS:	FOREIGN
          VOC:	lwl
        GLOSS:	nogloss

